iter	Passed	Remaining
0	56	55993
1	56	28260
2	57	18994
3	57	14388
4	58	11618
5	59	9818
6	59	8494
7	60	7480
8	60	6708
9	61	6083
10	61	5561
11	62	5142
12	63	4801
13	63	4480
14	64	4216
15	64	3980
16	65	3773
17	65	3593
18	66	3435
19	67	3289
20	67	3154
21	67	3022
22	68	2909
23	69	2811
24	69	2719
25	70	2632
26	70	2552
27	71	2477
28	71	2410
29	72	2341
30	72	2277
31	73	2215
32	73	2160
33	74	2108
34	74	2065
35	75	2019
36	76	1978
37	76	1939
38	77	1899
39	77	1857
40	77	1821
41	78	1786
42	78	1753
43	79	1720
44	79	1693
45	80	1667
46	81	1643
47	81	1616
48	82	1592
49	82	1569
50	83	1548
51	83	1525
52	84	1503
53	84	1484
54	85	1465
55	85	1442
56	85	1420
57	86	1401
58	86	1380
59	87	1365
60	87	1350
61	88	1332
62	88	1319
63	89	1304
64	89	1291
65	90	1278
66	90	1261
67	91	1250
68	91	1239
69	92	1228
70	93	1218
71	93	1206
72	94	1197
73	94	1187
74	95	1177
75	96	1168
76	96	1158
77	97	1150
78	97	1140
79	98	1131
80	98	1122
81	99	1115
82	100	1108
83	100	1098
84	101	1090
85	101	1083
86	102	1075
87	103	1068
88	103	1060
89	104	1053
90	104	1047
91	105	1040
92	105	1032
93	106	1025
94	106	1016
95	107	1009
96	107	1003
97	108	996
98	108	990
99	109	984
100	109	978
101	110	972
102	111	967
103	111	960
104	111	954
105	112	948
106	112	942
107	113	938
108	113	931
109	114	925
110	115	921
111	115	915
112	116	911
113	116	905
114	117	900
115	117	896
116	118	891
117	118	885
118	118	880
119	119	876
120	120	871
121	120	868
122	120	862
123	121	858
124	122	854
125	122	850
126	123	846
127	123	841
128	124	837
129	124	833
130	125	830
131	125	827
132	126	823
133	126	820
134	127	816
135	127	813
136	128	809
137	129	806
138	129	803
139	130	801
140	131	798
141	131	795
142	132	792
143	132	789
144	133	787
145	134	784
146	134	781
147	135	778
148	135	776
149	136	773
150	137	770
151	137	767
152	138	764
153	138	761
154	139	758
155	139	755
156	140	752
157	140	749
158	141	747
159	141	744
160	142	742
161	143	739
162	143	737
163	144	734
164	144	732
165	145	729
166	145	726
167	146	723
168	146	720
169	146	717
170	147	714
171	148	712
172	148	710
173	149	708
174	149	706
175	150	703
176	150	701
177	151	699
178	152	697
179	152	696
180	153	694
181	154	692
182	154	690
183	155	687
184	155	685
185	156	683
186	156	680
187	157	679
188	157	676
189	158	673
190	158	671
191	159	669
192	159	667
193	160	665
194	160	663
195	161	662
196	161	659
197	162	657
198	162	655
199	163	653
200	163	651
201	164	650
202	165	648
203	165	647
204	166	645
205	167	644
206	167	642
207	168	640
208	168	638
209	169	636
210	169	634
211	170	632
212	170	630
213	171	628
214	171	626
215	172	624
216	172	622
217	172	620
218	173	618
219	173	616
220	174	614
221	174	613
222	175	610
223	175	609
224	176	607
225	176	605
226	177	603
227	177	601
228	178	599
229	178	597
230	178	595
231	179	593
232	179	592
233	180	590
234	180	588
235	181	586
236	181	584
237	182	583
238	182	581
239	183	579
240	183	577
241	183	576
242	184	574
243	184	572
244	185	571
245	185	569
246	186	567
247	186	565
248	187	564
249	187	562
250	187	560
251	188	559
252	188	557
253	189	555
254	189	553
255	189	552
256	190	550
257	190	548
258	191	547
259	191	545
260	192	544
261	192	542
262	193	541
263	193	539
264	194	538
265	194	536
266	195	535
267	195	533
268	195	532
269	196	531
270	196	529
271	197	528
272	197	526
273	198	524
274	198	522
275	198	521
276	199	519
277	199	517
278	199	516
279	200	514
280	200	512
281	200	510
282	201	509
283	201	507
284	201	505
285	202	504
286	202	502
287	202	501
288	203	499
289	203	498
290	203	496
291	204	495
292	204	493
293	204	492
294	205	490
295	205	489
296	205	487
297	206	485
298	206	484
299	206	482
300	207	481
301	207	479
302	207	478
303	208	476
304	208	475
305	208	473
306	209	471
307	209	470
308	209	469
309	210	467
310	210	466
311	211	465
312	211	464
313	211	462
314	212	461
315	212	459
316	212	458
317	213	457
318	213	455
319	213	454
320	214	452
321	214	451
322	214	449
323	214	448
324	215	447
325	215	445
326	215	444
327	216	443
328	216	441
329	217	440
330	217	439
331	217	438
332	217	436
333	218	435
334	218	434
335	218	432
336	219	431
337	219	430
338	219	428
339	220	427
340	220	426
341	220	424
342	221	423
343	221	422
344	221	421
345	222	419
346	222	418
347	222	417
348	223	416
349	223	414
350	223	413
351	224	412
352	224	411
353	224	409
354	224	408
355	225	407
356	225	406
357	225	405
358	226	403
359	226	402
360	226	401
361	227	400
362	227	399
363	227	397
364	228	396
365	228	395
366	228	394
367	229	393
368	229	392
369	229	391
370	230	390
371	230	388
372	230	387
373	230	386
374	231	385
375	231	384
376	231	383
377	232	382
378	232	381
379	233	380
380	233	379
381	233	378
382	234	376
383	234	375
384	234	374
385	234	373
386	235	372
387	235	371
388	235	370
389	236	369
390	236	368
391	236	367
392	237	366
393	237	365
394	237	364
395	238	363
396	238	362
397	238	360
398	238	359
399	239	358
400	239	357
401	239	356
402	240	355
403	240	354
404	240	353
405	241	352
406	241	351
407	241	350
408	242	349
409	242	348
410	242	347
411	243	346
412	243	346
413	243	345
414	244	344
415	244	343
416	244	342
417	245	341
418	245	340
419	245	339
420	246	338
421	246	337
422	246	336
423	247	335
424	247	334
425	247	333
426	248	333
427	248	332
428	248	331
429	249	330
430	249	329
431	249	328
432	250	327
433	250	326
434	250	325
435	251	324
436	251	323
437	251	323
438	252	322
439	252	321
440	252	320
441	252	319
442	253	318
443	253	317
444	253	316
445	254	315
446	254	314
447	254	313
448	254	312
449	255	311
450	255	311
451	255	310
452	256	309
453	256	308
454	256	307
455	257	306
456	257	305
457	257	305
458	258	304
459	258	303
460	258	302
461	259	301
462	259	300
463	259	300
464	260	299
465	260	298
466	260	297
467	261	296
468	261	295
469	261	295
470	262	294
471	262	293
472	262	292
473	263	291
474	263	291
475	263	290
476	264	289
477	264	288
478	264	288
479	265	287
480	265	286
481	265	285
482	266	284
483	266	284
484	266	283
485	267	282
486	267	281
487	267	280
488	267	280
489	268	279
490	268	278
491	268	277
492	269	276
493	269	276
494	269	275
495	270	274
496	270	273
497	270	273
498	271	272
499	271	271
500	271	270
501	272	269
502	272	269
503	272	268
504	273	267
505	273	267
506	273	266
507	274	265
508	274	264
509	274	264
510	275	263
511	275	262
512	275	261
513	276	261
514	276	260
515	276	259
516	276	258
517	277	257
518	277	257
519	277	256
520	278	255
521	278	255
522	278	254
523	279	253
524	279	252
525	279	252
526	280	251
527	280	250
528	280	250
529	281	249
530	281	248
531	281	247
532	281	247
533	282	246
534	282	245
535	282	244
536	283	244
537	283	243
538	283	242
539	284	242
540	284	241
541	284	240
542	285	239
543	285	239
544	285	238
545	286	237
546	286	237
547	286	236
548	287	235
549	287	235
550	287	234
551	288	233
552	288	233
553	288	232
554	288	231
555	289	231
556	289	230
557	289	229
558	290	228
559	290	228
560	290	227
561	291	226
562	291	226
563	291	225
564	291	224
565	292	224
566	292	223
567	292	222
568	293	222
569	293	221
570	293	220
571	294	220
572	294	219
573	294	218
574	295	218
575	295	217
576	295	216
577	296	216
578	296	215
579	296	214
580	296	214
581	297	213
582	297	212
583	297	212
584	298	211
585	298	210
586	298	210
587	299	209
588	299	209
589	299	208
590	300	207
591	300	207
592	300	206
593	301	205
594	301	205
595	301	204
596	302	203
597	302	203
598	302	202
599	303	202
600	303	201
601	303	200
602	303	200
603	304	199
604	304	198
605	304	198
606	305	197
607	305	196
608	305	196
609	306	195
610	306	195
611	306	194
612	307	193
613	307	193
614	307	192
615	308	192
616	308	191
617	308	190
618	309	190
619	309	189
620	309	189
621	310	188
622	310	187
623	310	187
624	310	186
625	311	185
626	311	185
627	311	184
628	312	184
629	312	183
630	313	183
631	313	182
632	313	181
633	314	181
634	314	180
635	314	180
636	315	179
637	315	178
638	315	178
639	316	177
640	316	177
641	316	176
642	316	175
643	317	175
644	317	174
645	317	174
646	318	173
647	318	172
648	318	172
649	319	171
650	319	171
651	319	170
652	320	170
653	320	169
654	320	168
655	321	168
656	321	167
657	321	167
658	322	166
659	322	166
660	322	165
661	322	164
662	323	164
663	323	163
664	323	163
665	324	162
666	324	161
667	324	161
668	325	160
669	325	160
670	325	159
671	325	159
672	326	158
673	326	157
674	326	157
675	327	156
676	327	156
677	327	155
678	328	155
679	328	154
680	328	153
681	329	153
682	329	152
683	329	152
684	330	151
685	330	151
686	330	150
687	331	150
688	331	149
689	331	149
690	332	148
691	332	147
692	332	147
693	332	146
694	333	146
695	333	145
696	334	145
697	334	144
698	334	144
699	334	143
700	335	142
701	335	142
702	335	141
703	336	141
704	336	140
705	336	140
706	337	139
707	337	139
708	337	138
709	338	138
710	338	137
711	338	137
712	339	136
713	339	135
714	339	135
715	340	134
716	340	134
717	340	133
718	341	133
719	341	132
720	341	132
721	342	131
722	342	131
723	342	130
724	343	130
725	343	129
726	343	129
727	343	128
728	344	127
729	344	127
730	344	126
731	345	126
732	345	125
733	345	125
734	346	124
735	346	124
736	346	123
737	347	123
738	347	122
739	348	122
740	348	121
741	348	121
742	348	120
743	349	120
744	349	119
745	349	119
746	350	118
747	350	118
748	350	117
749	351	117
750	351	116
751	351	115
752	352	115
753	352	114
754	352	114
755	352	113
756	353	113
757	353	112
758	354	112
759	354	111
760	354	111
761	355	110
762	355	110
763	355	109
764	355	109
765	356	108
766	356	108
767	356	107
768	357	107
769	357	106
770	357	106
771	358	105
772	358	105
773	358	104
774	359	104
775	359	103
776	359	103
777	359	102
778	360	102
779	360	101
780	361	101
781	361	100
782	361	100
783	361	99
784	362	99
785	362	98
786	362	98
787	363	97
788	363	97
789	363	96
790	364	96
791	364	95
792	364	95
793	365	94
794	365	94
795	365	93
796	366	93
797	366	92
798	366	92
799	367	91
800	367	91
801	367	90
802	368	90
803	368	89
804	368	89
805	369	88
806	369	88
807	369	87
808	370	87
809	370	86
810	370	86
811	371	85
812	371	85
813	371	84
814	372	84
815	372	83
