Date,Closing Price (USD)
2013-10-01,123.65499
2013-10-02,125.455
2013-10-03,108.58483
2013-10-04,118.67466
2013-10-05,121.33866
2013-10-06,120.65533
2013-10-07,121.795
2013-10-08,123.033
2013-10-09,124.049
2013-10-10,125.96116
2013-10-11,125.27966
2013-10-12,125.9275
2013-10-13,126.38333
2013-10-14,135.24199
2013-10-15,133.20333
2013-10-16,142.76333
2013-10-17,137.92333
2013-10-18,142.95166
2013-10-19,152.55183
2013-10-20,160.33883
2013-10-21,164.31499
2013-10-22,177.63333
2013-10-23,188.29716
2013-10-24,200.70166
2013-10-25,180.355
2013-10-26,175.03166
2013-10-27,177.6965
2013-10-28,187.15983
2013-10-29,192.75666
2013-10-30,197.4
2013-10-31,196.02499
2013-11-01,198.04883
2013-11-02,198.93233
2013-11-03,200.543
2013-11-04,210.3075
2013-11-05,225.02
2013-11-06,248.25333
2013-11-07,262.32666
2013-11-08,294.48699
2013-11-09,331.10325
2013-11-10,285.8875
2013-11-11,304.97974
2013-11-12,338.137
2013-11-13,357.48
2013-11-14,402.954
2013-11-15,409.10375
2013-11-16,420.21649
2013-11-17,437.29725
2013-11-18,510.6025
2013-11-19,693.65
2013-11-20,531.54249
2013-11-21,574.71599
2013-11-22,681.33
2013-11-23,774.18
2013-11-24,746.19374
2013-11-25,768.8475
2013-11-26,789.36475
2013-11-27,893.1815
2013-11-28,934.355
2013-11-29,1068.363
2013-11-30,1154.92593
2013-12-01,1099.51926
2013-12-02,1019.78966
2013-12-03,1028.845
2013-12-04,1071.2848
2013-12-05,1139.33083
2013-12-06,1004.61633
2013-12-07,759.43041
2013-12-08,689.81
2013-12-09,841.83966
2013-12-10,916.77599
2013-12-11,967.42866
2013-12-12,866.29003
2013-12-13,911.23204
2013-12-14,889.81946
2013-12-15,848.9975
2013-12-16,868.95316
2013-12-17,653.80483
2013-12-18,654.06266
2013-12-19,553.69166
2013-12-20,693.05883
2013-12-21,649.38965
2013-12-22,595.95883
2013-12-23,647.68316
2013-12-24,671.58116
2013-12-25,659.84333
2013-12-26,702.00083
2013-12-27,758.01016
2013-12-28,734.01166
2013-12-29,717.92623
2013-12-30,752.82022
2013-12-31,744.17249
2014-01-01,768.40783
2014-01-02,769.09849
2014-01-03,804.02719
2014-01-04,813.31748
2014-01-05,871.11583
2014-01-06,970.65083
2014-01-07,962.46447
2014-01-08,855.75933
2014-01-09,860.84166
2014-01-10,847.5325
2014-01-11,892.26115
2014-01-12,916.69666
2014-01-13,873.27168
2014-01-14,863.69888
2014-01-15,853.25666
2014-01-16,874.07416
2014-01-17,842.19173
2014-01-18,834.86666
2014-01-19,838.42916
2014-01-20,881.87583
2014-01-21,873.28916
2014-01-22,874.13266
2014-01-23,864.56116
2014-01-24,838.14997
2014-01-25,834.57416
2014-01-26,858.12641
2014-01-27,887.08337
2014-01-28,830.53133
2014-01-29,832.89496
2014-01-30,832.87399
2014-01-31,841.48914
2014-02-01,847.36383
2014-02-02,854.7225
2014-02-03,856.03366
2014-02-04,847.70697
2014-02-05,844.28836
2014-02-06,802.75333
2014-02-07,748.43559
2014-02-08,692.66914
2014-02-09,668.86463
2014-02-10,700.44843
2014-02-11,694.3125
2014-02-12,665.7975
2014-02-13,645.615
2014-02-14,578.4125
2014-02-15,641.91
2014-02-16,656.2725
2014-02-17,611.04499
2014-02-18,634.99
2014-02-19,618.79
2014-02-20,619.8425
2014-02-21,545.7625
2014-02-22,561.535
2014-02-23,622.22
2014-02-24,572.7675
2014-02-25,501.155
2014-02-26,550.6025
2014-02-27,573.1025
2014-02-28,567.2925
2014-03-01,551.73
2014-03-02,560.195
2014-03-03,567.7
2014-03-04,666.1475
2014-03-05,660.84
2014-03-06,662.0225
2014-03-07,651.285
2014-03-08,612.33
2014-03-09,611.1625
2014-03-10,637.615
2014-03-11,626
2014-03-12,633.74749
2014-03-13,631.755
2014-03-14,636.41414
2014-03-15,628.18751
2014-03-16,632.95333
2014-03-17,630.34833
2014-03-18,617.24333
2014-03-19,616.86665
2014-03-20,601.015
2014-03-21,581.33333
2014-03-22,570.36168
2014-03-23,562.95333
2014-03-24,557.16833
2014-03-25,573.34998
2014-03-26,572.49161
2014-03-27,570.54833
2014-03-28,509.70665
2014-03-29,499.24998
2014-03-30,486.80845
2014-03-31,472.4783
2014-04-01,464.88
2014-04-02,480.16581
2014-04-03,427.87498
2014-04-04,432.99716
2014-04-05,453.87148
2014-04-06,462.445
2014-04-07,456.46948
2014-04-08,452.81
2014-04-09,450.48083
2014-04-10,426.98333
2014-04-11,374.59166
2014-04-12,438.24666
2014-04-13,423.51566
2014-04-14,409.03166
2014-04-15,455.28316
2014-04-16,517.09666
2014-04-17,522.455
2014-04-18,490.8785
2014-04-19,469.38332
2014-04-20,507.80663
2014-04-21,505.09665
2014-04-22,497.65001
2014-04-23,487.84
2014-04-24,487.11333
2014-04-25,469.08816
2014-04-26,448.77834
2014-04-27,452.14829
2014-04-28,426.78166
2014-04-29,432.60498
2014-04-30,444.85668
2014-05-01,454.55666
2014-05-02,453.59833
2014-05-03,441.97833
