,userAcceleration.x,userAcceleration.y,userAcceleration.z
0,-0.840049,-0.734053,0.163569
1,-0.235474,0.336275,-1.948608
2,-0.522702,1.260167,0.825094
3,0.675368,2.526999,1.497169
4,1.737508,1.006182,0.115889
5,1.430271,0.31514,0.028272
6,0.733562,0.1473,0.296096
7,0.533044,0.159511,-0.740767
8,0.921319,0.024368,-0.318241
9,0.688036,-0.489294,-0.902027
10,-0.472726,0.19995,-1.010785
11,-0.750682,1.025402,-0.397301
12,-0.216713,-0.096056,-0.055671
13,-0.314145,-0.835689,0.108631
14,-0.541584,-1.38807,-0.085993
15,-0.564718,-1.722004,-0.908935
16,-0.711318,-0.706519,-0.8957
17,-0.756319,-0.14452,0.371996
18,-0.686202,-0.031489,-0.185791
19,0.009068,0.126442,1.01211
20,2.969417,2.491444,0.735658
21,3.990026,3.967717,0.387952
22,0.620458,0.189383,0.203881
23,0.59469,0.284891,0.243772
24,-0.701862,-0.328016,-0.09527
25,-0.435101,-0.874652,-0.589971
26,-0.252487,-0.839497,-0.223843
27,-0.490688,-0.413278,0.193767
28,-0.743555,-0.1551,0.324693
29,-0.967231,-0.261304,0.617988
30,-1.120356,-0.582476,0.684207
31,-0.987113,-0.631495,0.500042
32,-1.200289,-1.253003,-1.713423
33,-1.272609,-0.507243,-0.065754
34,-1.527322,0.355289,0.11538
35,-0.681001,2.747654,0.601828
36,-0.100515,1.63203,0.509258
37,0.185201,0.892425,-0.135036
38,1.438368,0.284167,1.050291
39,3.572135,-1.175655,0.647908
40,2.616796,-1.676538,-0.683431
41,0.746894,-0.416966,-1.650714
42,-0.085134,0.587051,-0.572934
43,-0.73657,1.505234,-0.600347
44,-0.768352,-0.399249,-0.107219
45,-0.796638,-0.959214,-0.196769
46,-0.917432,-1.931708,-0.651843
47,-0.94779,-1.899347,-0.601142
48,-0.799193,-0.938722,-0.141252
49,-0.004059,0.325296,-3.114755
50,0.278562,0.381866,1.52721
51,1.954933,1.318751,1.162274
52,3.637171,3.020937,0.296052
53,1.654907,1.707683,1.030825
54,-0.684382,-0.024285,0.503678
55,-0.326143,-0.453232,-0.431445
56,0.143623,-0.879398,-1.01545
57,-0.318437,-0.526981,-0.215754
58,-0.88754,0.082961,0.108889
59,-1.123579,0.081702,0.154033
60,-1.485674,-0.457135,0.866908
61,-1.774534,-0.847146,0.945726
62,-1.563992,-0.711423,0.065209
63,-0.960856,0.303989,-4.669329
64,0.370885,1.491959,2.416137
65,1.337989,2.548651,1.385401
66,1.840611,3.05649,0.476044
67,1.988118,0.625781,-0.462
68,1.781843,-0.197875,0.147941
69,1.251736,-1.829654,0.555773
70,0.469342,-1.892443,0.141581
71,0.301406,0.123629,-0.668453
72,0.400563,1.642164,-1.358462
73,-0.314796,0.892692,-0.290145
74,-0.350639,-0.125091,-0.298932
75,-0.638647,-0.740115,-0.044432
76,-1.157039,-1.203167,-0.26333
77,-1.257002,-1.635142,-0.529729
78,-0.941608,-1.087153,-0.719322
79,-0.749354,-0.087574,0.019694
80,-0.355373,0.232722,-1.846353
81,-0.042384,0.106773,1.667602
82,1.737485,0.446911,0.457844
83,5.634712,2.038327,0.053349
84,1.693654,0.978457,0.550611
85,-0.076371,0.340814,0.604932
86,-0.882363,0.281729,0.208696
87,-0.613574,-0.616987,-0.213703
88,-0.04013,-0.726417,-0.398831
89,-0.244156,-0.138376,-0.06483
90,-0.760361,0.351895,0.10213
91,-1.547425,-4.50E-05,0.334612
92,-1.777662,-0.156085,0.464443
93,-1.863021,-0.261717,0.585597
94,-1.419696,-0.19563,-0.045335
95,-1.185947,0.089626,-1.589385
96,0.772215,0.845061,2.685553
97,2.293325,2.257344,0.368949
98,0.918966,0.466253,-0.040062
99,0.583637,-0.140518,-0.937654
100,0.332169,-0.550963,0.189938
101,0.343325,-0.611821,0.141954
102,1.028937,-0.562909,-0.312906
103,0.805881,-1.269133,-0.775081
104,0.335468,-0.636097,-0.847124
105,-0.043645,0.847746,-0.922682
106,-0.322527,0.378127,-0.460488
107,-0.609749,-0.433596,-0.301103
108,-0.83897,-0.755319,-0.329479
109,-1.067969,-1.825393,-0.384215
110,-0.882337,-0.746659,-0.469707
111,-0.805208,0.26665,-0.545835
112,-0.56633,0.819462,-0.757188
113,-0.171736,1.077513,-0.093814
114,2.745358,1.516187,-0.776719
115,3.460254,1.398813,0.564271
116,1.11436,0.655259,0.822304
117,-0.002416,-0.136659,0.496514
118,-0.140909,-0.923869,0.16941
119,-0.029943,-1.126449,-0.601614
120,-0.162679,-1.146295,-0.40997
121,-0.651991,-0.539995,0.144717
122,-0.921933,0.026825,0.414086
123,-1.122094,-0.005889,0.547418
124,-1.478669,-0.212038,0.90062
125,-1.577814,-0.122181,0.76251
126,-1.433689,0.058695,-0.531329
127,0.165645,1.991605,-2.381626
128,-0.141614,1.295994,2.186707
129,1.617511,2.576027,0.608374
130,1.854286,1.325034,-0.763911
131,1.75792,0.331253,-0.013555
132,1.975792,-1.659764,0.618631
133,1.428567,-3.358837,-0.129107
134,0.228874,-2.085601,0.214751
135,-0.08457,0.392632,-0.92619
136,0.025556,2.027579,-0.028791
137,-0.192744,1.057615,-0.084135
138,-0.245071,-0.386439,-0.261148
139,-1.19847,-0.87437,-0.336021
140,-1.362235,-1.326619,-0.548728
141,-1.203059,-1.193473,-0.688383
142,-0.719485,-0.146266,0.234892
143,-0.076888,0.146909,-2.119275
144,-0.277641,0.232805,1.035861
145,3.078829,1.116284,1.10557
146,6.754868,2.602084,0.630863
147,2.127826,0.803205,0.342849
148,-0.317634,0.036453,0.443418
149,-0.721115,0.021328,-0.238619
150,-0.700514,-0.478078,-0.611551
151,-0.438514,-0.805779,-0.334427
152,-0.735034,0.127726,0.327608
153,-0.862781,0.216008,0.456344
154,-1.643113,-0.264562,0.886763
155,-2.116323,-0.443415,0.78298
156,-1.797358,-0.276294,0.01646
157,-1.628751,0.321302,-2.144633
158,-0.083729,1.681631,0.690542
159,0.078335,0.784139,2.341848
160,2.260207,2.385262,1.60824
161,2.656711,1.561919,-0.995778
162,2.092266,-0.063518,0.254747
