,userAcceleration.x,userAcceleration.y,userAcceleration.z
0,0.115202,-0.117842,-0.196799
1,0.110419,-0.115493,-0.077471
2,0.177432,-0.118329,-0.013201
3,0.170936,-0.13794,-0.070216
4,0.174261,-0.15418,-0.162353
5,0.113198,0.027209,-0.138594
6,0.126813,0.120072,-0.124723
7,0.194476,0.152618,-0.160944
8,0.273332,0.163079,-0.109015
9,0.423273,0.292554,-0.170345
10,0.765848,0.434321,-0.409802
11,0.681007,0.411684,-0.382227
12,0.726355,0.451688,-0.353718
13,0.752389,0.532899,-0.514985
14,0.22811,0.28039,-0.496535
15,-0.377085,0.371835,-0.187843
16,-0.556713,0.82642,0.736954
17,-0.341663,1.000289,0.223001
18,-0.168868,0.982,-0.159226
19,-0.240277,0.424294,-0.27878
20,-0.265773,0.408949,0.144506
21,-0.403547,0.332586,0.30416
22,0.11086,-0.110975,0.440184
23,-0.19461,-0.213039,0.31758
24,-0.206078,-0.283191,0.356339
25,-0.306156,-0.444647,0.536892
26,-0.312099,-0.393369,0.53478
27,-0.409557,-0.378406,0.584216
28,-0.556986,-0.353322,0.746884
29,-0.523077,-0.528151,0.722871
30,-0.511174,-0.668444,0.649115
31,-0.481403,-0.761043,0.17854
32,-0.05438,-0.498495,-0.436701
33,0.598027,1.108397,-1.339058
34,1.259605,2.334414,-1.463091
35,9.60E-05,0.020419,-0.490399
36,-0.561857,-0.150351,-0.061462
37,-0.473399,0.415436,1.251143
38,-0.478253,0.56564,1.095161
39,0.107887,0.649081,-0.29786
40,-0.414397,-0.726371,0.75788
41,-0.618072,-0.233105,0.211095
42,-0.33316,0.253797,1.117225
43,0.057492,0.532685,0.589742
44,0.098236,0.309024,0.468744
45,-0.032409,0.125757,0.384401
46,-0.236134,0.117223,0.308709
47,-0.381001,0.060393,0.288016
48,-0.23543,0.064174,0.258928
49,-0.03425,0.045888,0.289576
50,0.086428,-0.206447,0.144803
51,0.076856,-0.266767,0.093498
52,-0.027654,-0.135385,0.043307
53,0.035247,-0.148059,-0.011203
54,0.05221,-0.181848,-0.093756
55,0.062382,-0.121052,-0.081337
56,0.101415,-0.102312,-0.012959
57,0.119834,-0.112972,-0.058881
58,0.091384,-0.155207,-0.079288
59,0.111289,-0.151006,-0.100467
60,0.205951,0.139869,-0.113841
61,0.285733,0.108037,-0.109561
62,0.433086,0.137658,-0.098055
63,0.71113,0.420569,-0.268716
64,0.611941,0.500868,-0.462862
65,0.595731,0.427913,-0.44404
66,0.805147,0.510318,-0.383784
67,0.598006,0.259432,-0.332033
68,0.299216,0.145345,-0.39549
69,-0.045782,0.250192,-0.450424
70,-0.502187,0.490814,0.664123
71,-0.35329,0.913018,0.479003
72,-0.157548,0.962033,0.025144
73,-0.158843,0.643011,-0.354312
74,-0.318285,0.547933,0.124595
75,-0.461363,0.479261,0.319472
76,-0.212448,-0.074268,0.358976
77,-0.180361,-0.259032,0.378433
78,-0.346865,-0.288255,0.425318
79,-0.32219,-0.491052,0.509801
80,-0.450826,-0.622595,0.450316
81,-0.440713,-0.582952,0.518162
82,-0.43195,-0.516388,0.593436
83,-0.415683,-0.590939,0.674113
84,-0.446387,-0.749399,0.593496
85,-0.386574,-0.66923,0.270228
86,-0.064143,-0.281169,-0.197148
87,0.606392,0.906542,-1.203582
88,0.758137,1.437373,-1.064848
89,-0.095433,-0.128205,-0.327603
90,-0.363882,-0.335146,-0.122619
91,-0.616818,-0.550906,0.187789
92,-0.36575,0.175447,1.804173
93,-0.501006,1.324533,-0.796131
94,0.200548,1.240208,0.366811
95,-0.625414,-0.533125,0.723323
96,-0.571369,-0.368689,1.028959
97,-0.572819,-0.064558,1.077516
98,-0.340386,0.434816,0.4522
99,0.249633,0.772091,0.435851
100,0.26509,0.234901,0.422526
101,-0.131585,0.052054,0.330206
102,-0.313506,0.006606,0.302742
103,-0.344347,-0.1601,0.228884
104,-0.040026,-0.242131,0.214077
105,0.029519,-0.23591,0.202441
106,0.098443,-0.136575,0.068404
107,0.218488,-0.118339,-0.157192
108,0.200775,-0.149801,-0.2191
109,0.161307,-0.162323,-0.165783
110,0.237627,-0.08879,0.043403
111,0.264543,-0.080067,-0.004307
112,0.26568,-0.039973,-0.133843
113,0.18878,0.118417,-0.229987
114,0.282628,0.242114,-0.252102
115,0.474965,0.208747,-0.235128
116,0.831971,0.290851,-0.231975
117,0.82295,0.469041,-0.517015
118,0.43848,0.321649,-0.469538
119,0.397418,0.248122,-0.388808
120,0.74845,0.31211,-0.20551
121,0.237594,0.299493,-0.420226
122,-0.367172,0.541756,0.170086
123,-0.500253,0.592568,0.724878
124,-0.340783,1.115072,-0.037959
125,-0.260737,0.942789,-0.245219
126,-0.110504,0.509803,-0.166087
127,-0.214823,0.407197,0.189837
128,-0.239304,0.125028,0.609086
129,-0.082398,-0.014816,0.554794
130,-0.153826,-0.262876,0.359578
131,-0.170684,-0.321784,0.518655
132,-0.242498,-0.313905,0.606717
133,-0.438417,-0.450448,0.623852
134,-0.551586,-0.465263,0.739091
135,-0.563956,-0.487828,0.752258
136,-0.540902,-0.664944,0.729094
137,-0.48971,-0.832934,0.642592
138,-0.440217,-0.676125,0.24978
139,-0.029195,-0.256954,-0.104519
140,0.88292,1.793229,-1.650744
141,1.092576,2.060542,-1.498981
142,-0.152728,-0.421775,-0.223378
143,-0.418496,-0.603379,-0.151013
144,-0.287629,-0.54445,1.151801
145,-0.439764,0.1939,1.661851
146,0.587407,2.423651,-0.841481
147,-0.309376,0.546763,0.350291
148,-1.017509,-0.762019,0.045963
149,-0.548075,-0.248323,1.307458
150,-0.367155,-0.1385,1.128559
151,0.022461,0.276257,0.70225
152,0.271939,0.597257,0.127189
153,0.186943,0.224897,0.134185
154,-0.159045,0.026035,0.288454
155,-0.358867,-0.068447,0.376192
156,-0.270107,-0.12779,0.253145
157,-0.079114,-0.240812,0.163258
158,0.081695,-0.133282,0.146956
159,0.155431,-0.122743,-0.043019
160,0.135055,-0.292117,-0.173922
161,0.086782,-0.244842,-0.182564
162,0.06687,-0.193288,-0.142851
163,0.103336,-0.155282,-0.026156
164,0.175852,-0.077407,-0.127896
165,0.156134,-0.028766,-0.200719
166,0.137113,0.147043,-0.161734
167,0.138079,0.162649,-0.176405
